epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,97028.4,0.63852,0.7072,1.05459,0.79221,0.72509,0.78318,0.64906,0.72446,0.75323,1.02934,0.000479094,0.000479094,0.000479094
157,97601,0.6376,0.70353,1.04927,0.78847,0.7292,0.78295,0.64892,0.7243,0.75261,1.02962,0.000473919,0.000473919,0.000473919
158,98176.1,0.63613,0.7066,1.05084,0.79369,0.72492,0.78305,0.64895,0.7235,0.75259,1.0289,0.000468747,0.000468747,0.000468747
159,98750,0.63885,0.70245,1.05246,0.78881,0.72896,0.78255,0.64874,0.72309,0.75317,1.02875,0.000463579,0.000463579,0.000463579
160,99322.6,0.63181,0.69909,1.04894,0.79396,0.7246,0.78259,0.64888,0.72293,0.75266,1.0289,0.000458416,0.000458416,0.000458416
161,99897,0.62743,0.69761,1.04927,0.79637,0.72081,0.78235,0.64862,0.72324,0.75312,1.02945,0.000453258,0.000453258,0.000453258
162,100470,0.63048,0.69847,1.05106,0.79653,0.72111,0.7821,0.64862,0.72363,0.75323,1.03,0.000448106,0.000448106,0.000448106
163,101045,0.62635,0.6972,1.048,0.7969,0.72142,0.78202,0.64863,0.72381,0.75304,1.03014,0.00044296,0.00044296,0.00044296
164,101618,0.63377,0.69662,1.04833,0.7975,0.72138,0.78186,0.64857,0.72384,0.75291,1.03029,0.000437821,0.000437821,0.000437821
165,102191,0.62932,0.6957,1.04886,0.79691,0.72274,0.7817,0.64818,0.72345,0.75329,1.02978,0.000432689,0.000432689,0.000432689
166,102764,0.62697,0.68698,1.04584,0.7969,0.72226,0.78135,0.6479,0.72343,0.75295,1.0302,0.000427565,0.000427565,0.000427565
167,103338,0.62282,0.68507,1.04223,0.79384,0.7253,0.78115,0.6477,0.72315,0.75288,1.02995,0.000422449,0.000422449,0.000422449
168,103912,0.62747,0.68867,1.04612,0.79167,0.72728,0.7809,0.64757,0.72283,0.75329,1.02944,0.000417343,0.000417343,0.000417343
169,104485,0.62611,0.69013,1.04649,0.79172,0.72616,0.78045,0.64745,0.72271,0.75336,1.02923,0.000412246,0.000412246,0.000412246
170,105062,0.6255,0.6883,1.04443,0.79086,0.72632,0.7803,0.64708,0.72253,0.75356,1.02905,0.00040716,0.00040716,0.00040716
171,105636,0.62118,0.6816,1.04371,0.7936,0.7236,0.7802,0.64709,0.72261,0.7539,1.02914,0.000402084,0.000402084,0.000402084
172,106209,0.62203,0.68217,1.04051,0.7953,0.72166,0.78013,0.64725,0.72257,0.75395,1.02911,0.000397019,0.000397019,0.000397019
173,106785,0.62407,0.67946,1.04252,0.79341,0.72434,0.78024,0.64736,0.72253,0.75388,1.02911,0.000391966,0.000391966,0.000391966
174,107359,0.61856,0.6746,1.03914,0.80247,0.71742,0.78028,0.64729,0.72273,0.75386,1.02956,0.000386926,0.000386926,0.000386926
175,107932,0.62305,0.67731,1.04061,0.79963,0.71933,0.78023,0.64728,0.72264,0.75459,1.02938,0.000381899,0.000381899,0.000381899
176,108514,0.61642,0.67899,1.03838,0.79989,0.72022,0.78026,0.64731,0.72252,0.75465,1.02931,0.000376885,0.000376885,0.000376885
177,109089,0.6198,0.6809,1.04103,0.79929,0.72011,0.78028,0.64706,0.72238,0.75519,1.02923,0.000371885,0.000371885,0.000371885
178,109663,0.62177,0.67898,1.04177,0.79981,0.71957,0.78017,0.647,0.72193,0.755,1.02877,0.000366899,0.000366899,0.000366899
179,110237,0.6183,0.67541,1.0386,0.79963,0.71957,0.78012,0.64692,0.72139,0.75541,1.02831,0.000361929,0.000361929,0.000361929
180,110809,0.6168,0.67391,1.03858,0.79969,0.71929,0.78004,0.64673,0.72137,0.75603,1.02829,0.000356975,0.000356975,0.000356975
